Time,Distance,LapNumber,Driver,DriverNumber,MaxDistance
0 days 00:01:18.228000,1997.498333333333,2,PER,11,3273.8655555555542
0 days 00:01:18.388000,2001.0094444444444,2,PER,11,3273.8655555555542
0 days 00:01:18.588000,2005.0094444444442,2,PER,11,3273.8655555555542
0 days 00:01:18.909000,2011.2511111111112,2,PER,11,3273.8655555555542
0 days 00:01:19.188000,2016.598611111111,2,PER,11,3273.8655555555542
0 days 00:01:19.548000,2023.198611111111,2,PER,11,3273.8655555555542
0 days 00:01:19.908000,2028.998611111111,2,PER,11,3273.8655555555542
0 days 00:01:20.229000,2033.9919444444442,2,PER,11,3273.8655555555542
0 days 00:01:20.509000,2038.1141666666665,2,PER,11,3273.8655555555542
0 days 00:01:20.749000,2041.7141666666664,2,PER,11,3273.8655555555542
0 days 00:01:21.029000,2045.9919444444442,2,PER,11,3273.8655555555542
