Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,PitLap
0 days 03:58:46.625000,77,0 days 00:01:18.428000,62,,,0 days 00:00:21.017000,0 days 00:00:36.648000,0 days 00:00:20.763000,0 days 03:57:49.214000,0 days 03:58:25.862000,0 days 03:58:46.625000,193.0,187.0,255.0,275.0,False,HARD,42.0,False,3,0 days 03:57:28.197000,Alfa Romeo,BOT,1,True,2022-05-29 15:58:28.218,
0 days 04:00:05.036000,77,0 days 00:01:18.411000,63,,,0 days 00:00:20.715000,0 days 00:00:36.805000,0 days 00:00:20.891000,0 days 03:59:07.340000,0 days 03:59:44.145000,0 days 04:00:05.036000,192.0,181.0,254.0,275.0,False,HARD,43.0,False,3,0 days 03:58:46.625000,Alfa Romeo,BOT,1,True,2022-05-29 15:59:46.646,
0 days 04:01:23.311000,77,0 days 00:01:18.275000,64,,,0 days 00:00:20.719000,0 days 00:00:36.735000,0 days 00:00:20.821000,0 days 04:00:25.755000,0 days 04:01:02.490000,0 days 04:01:23.311000,194.0,186.0,254.0,275.0,False,HARD,44.0,False,3,0 days 04:00:05.036000,Alfa Romeo,BOT,1,True,2022-05-29 16:01:05.057,
0 days 02:06:48.183000,5,,1,0 days 02:04:40.502000,0 days 02:04:39.908000,,0 days 00:01:02.947000,0 days 00:00:31.276000,,0 days 02:06:16.977000,0 days 02:06:48.216000,106.0,117.0,154.0,153.0,False,INTERMEDIATE,1.0,True,2,0 days 02:04:00.206000,Aston Martin,VET,2,False,2022-05-29 14:05:00.227,1.0
0 days 02:09:04.471000,5,0 days 00:02:16.288000,2,,,0 days 00:00:36.492000,0 days 00:01:01.013000,0 days 00:00:38.783000,0 days 02:07:24.675000,0 days 02:08:25.688000,0 days 02:09:04.471000,102.0,118.0,196.0,125.0,False,INTERMEDIATE,2.0,True,2,0 days 02:06:48.183000,Aston Martin,VET,4,False,2022-05-29 14:07:48.204,
0 days 02:10:52.015000,5,0 days 00:01:47.544000,3,,,0 days 00:00:29.789000,0 days 00:00:49.593000,0 days 00:00:28.162000,0 days 02:09:34.260000,0 days 02:10:23.853000,0 days 02:10:52.015000,124.0,129.0,230.0,217.0,False,INTERMEDIATE,3.0,True,2,0 days 02:09:04.471000,Aston Martin,VET,1,False,2022-05-29 14:10:04.492,
0 days 02:12:36.221000,5,0 days 00:01:44.206000,4,,,0 days 00:00:28.237000,0 days 00:00:48.549000,0 days 00:00:27.420000,0 days 02:11:20.252000,0 days 02:12:08.801000,0 days 02:12:36.221000,132.0,136.0,241.0,241.0,False,INTERMEDIATE,4.0,True,2,0 days 02:10:52.015000,Aston Martin,VET,1,True,2022-05-29 14:11:52.036,
0 days 02:14:18.002000,5,0 days 00:01:41.781000,5,,,0 days 00:00:27.544000,0 days 00:00:47.277000,0 days 00:00:26.960000,0 days 02:13:03.765000,0 days 02:13:51.042000,0 days 02:14:18.002000,139.0,137.0,244.0,253.0,False,INTERMEDIATE,5.0,True,2,0 days 02:12:36.221000,Aston Martin,VET,1,True,2022-05-29 14:13:36.242,
0 days 02:16:22.978000,5,0 days 00:02:04.976000,6,,0 days 02:15:58.727000,0 days 00:00:34.565000,0 days 00:00:47.558000,0 days 00:00:42.853000,0 days 02:14:52.567000,0 days 02:15:40.125000,0 days 02:16:22.978000,131.0,135.0,,244.0,False,INTERMEDIATE,6.0,True,2,0 days 02:14:18.002000,Aston Martin,VET,2,False,2022-05-29 14:15:18.023,6.0
0 days 02:18:06.328000,5,0 days 00:01:43.350000,7,0 days 02:16:23.672000,,0 days 00:00:29.658000,0 days 00:00:46.736000,0 days 00:00:26.956000,0 days 02:16:52.636000,0 days 02:17:39.372000,0 days 02:18:06.328000,138.0,128.0,242.0,257.0,False,HARD,2.0,False,3,0 days 02:16:22.978000,Aston Martin,VET,1,False,2022-05-29 14:17:22.999,
0 days 02:19:46.139000,5,0 days 00:01:39.811000,8,,,0 days 00:00:27.253000,0 days 00:00:46.386000,0 days 00:00:26.172000,0 days 02:18:33.581000,0 days 02:19:19.967000,0 days 02:19:46.139000,142.0,136.0,245.0,258.0,False,HARD,3.0,False,3,0 days 02:18:06.328000,Aston Martin,VET,1,True,2022-05-29 14:19:06.349,
