Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate
0 days 00:24:12.401000,18,0 days 00:01:31.119000,11,,,0 days 00:00:30.371000,0 days 00:00:24.286000,0 days 00:00:36.462000,0 days 00:23:11.653000,0 days 00:23:35.939000,0 days 00:24:12.401000,,287.0,282.0,296.0,False,SUPERSOFT,10.0,True,1.0,0 days 00:22:41.282000,Williams,STR,1,True
0 days 00:25:44.199000,18,0 days 00:01:31.798000,12,,,0 days 00:00:30.654000,0 days 00:00:24.503000,0 days 00:00:36.641000,0 days 00:24:43.055000,0 days 00:25:07.558000,0 days 00:25:44.199000,267.0,288.0,282.0,292.0,False,SUPERSOFT,11.0,True,1.0,0 days 00:24:12.401000,Williams,STR,1,True
0 days 00:27:15.127000,18,0 days 00:01:30.928000,13,,,0 days 00:00:30.305000,0 days 00:00:24.186000,0 days 00:00:36.437000,0 days 00:26:14.504000,0 days 00:26:38.690000,0 days 00:27:15.127000,,288.0,283.0,,False,SUPERSOFT,12.0,True,1.0,0 days 00:25:44.199000,Williams,STR,1,True
0 days 00:28:45.961000,18,0 days 00:01:30.834000,14,,,0 days 00:00:30.372000,0 days 00:00:24.182000,0 days 00:00:36.280000,0 days 00:27:45.499000,0 days 00:28:09.681000,0 days 00:28:45.961000,,289.0,282.0,289.0,False,SUPERSOFT,13.0,True,1.0,0 days 00:27:15.127000,Williams,STR,1,True
0 days 00:30:17.282000,18,0 days 00:01:31.321000,15,,,0 days 00:00:30.375000,0 days 00:00:24.589000,0 days 00:00:36.357000,0 days 00:29:16.336000,0 days 00:29:40.925000,0 days 00:30:17.282000,268.0,287.0,282.0,288.0,False,SUPERSOFT,14.0,True,1.0,0 days 00:28:45.961000,Williams,STR,1,True
0 days 00:31:48.631000,18,0 days 00:01:31.349000,16,,,0 days 00:00:30.460000,0 days 00:00:24.324000,0 days 00:00:36.565000,0 days 00:30:47.742000,0 days 00:31:12.066000,0 days 00:31:48.631000,262.0,286.0,282.0,292.0,False,SUPERSOFT,15.0,True,1.0,0 days 00:30:17.282000,Williams,STR,1,True
0 days 00:33:20.361000,18,0 days 00:01:31.730000,17,,,0 days 00:00:30.736000,0 days 00:00:24.457000,0 days 00:00:36.537000,0 days 00:32:19.367000,0 days 00:32:43.824000,0 days 00:33:20.361000,267.0,288.0,281.0,294.0,False,SUPERSOFT,16.0,True,1.0,0 days 00:31:48.631000,Williams,STR,1,True
0 days 00:34:51.615000,18,0 days 00:01:31.254000,18,,,0 days 00:00:30.634000,0 days 00:00:24.283000,0 days 00:00:36.337000,0 days 00:33:50.995000,0 days 00:34:15.278000,0 days 00:34:51.615000,264.0,285.0,281.0,280.0,False,SUPERSOFT,17.0,True,1.0,0 days 00:33:20.361000,Williams,STR,1,True
0 days 00:36:22.442000,18,0 days 00:01:30.827000,19,,,0 days 00:00:30.458000,0 days 00:00:24.234000,0 days 00:00:36.135000,0 days 00:35:22.073000,0 days 00:35:46.307000,0 days 00:36:22.442000,266.0,288.0,280.0,275.0,False,SUPERSOFT,18.0,True,1.0,0 days 00:34:51.615000,Williams,STR,1,True
0 days 00:37:53.452000,18,0 days 00:01:31.010000,20,,,0 days 00:00:30.502000,0 days 00:00:24.195000,0 days 00:00:36.313000,0 days 00:36:52.944000,0 days 00:37:17.139000,0 days 00:37:53.452000,263.0,289.0,281.0,276.0,False,SUPERSOFT,19.0,True,1.0,0 days 00:36:22.442000,Williams,STR,1,True
0 days 00:39:24.439000,18,0 days 00:01:30.987000,21,,,0 days 00:00:30.458000,0 days 00:00:24.236000,0 days 00:00:36.293000,0 days 00:38:23.910000,0 days 00:38:48.146000,0 days 00:39:24.439000,264.0,287.0,280.0,280.0,False,SUPERSOFT,20.0,True,1.0,0 days 00:37:53.452000,Williams,STR,1,True
